accession,light_treatment,leaf_type,light_intensity,n_plant,trait,estimate,lowerCI,upperCI
LA0444,shade,pseudohypo,low,10,gcl,17.94874728746934,17.265750162557406,18.693152576997505
LA0444,sun,amphi,high,10,gcl,19.45720274320567,18.72574537650604,20.232214367922687
LA0444,sun,amphi,low,9,gcl,19.02921564127754,18.24774667057572,19.841931881981086
LA0444,sun,pseudohypo,high,10,gcl,20.70158691720915,19.858319295927664,21.493043390646545
LA0444,sun,pseudohypo,low,9,gcl,20.52939178659633,19.761748682853543,21.377631761739515
LA0716,shade,amphi,high,9,gcl,20.340612098380635,19.577080925721685,21.16178717521774
LA0716,shade,amphi,low,10,gcl,20.086188378013887,19.364069279143425,20.910439597839606
LA0716,shade,pseudohypo,high,9,gcl,20.976178873154954,20.199430416365875,21.848314200064436
LA0716,shade,pseudohypo,low,10,gcl,20.679843579341654,19.93185926923236,21.483764200575255
LA0716,sun,amphi,high,10,gcl,22.564197607854194,21.692531853604766,23.50397781619439
LA0716,sun,amphi,low,9,gcl,22.23857389722101,21.417320442728105,23.133429882938614
LA0716,sun,pseudohypo,high,10,gcl,24.02764155326004,23.133929544973352,25.011468195380942
LA0716,sun,pseudohypo,low,9,gcl,23.66665759350253,22.797061036638254,24.60656459267342
